,/lpc/it8720f/control/0,/lpc/it8720f/control/1,/lpc/it8720f/control/2,/lpc/it8720f/voltage/0,/lpc/it8720f/voltage/1,/lpc/it8720f/voltage/2,/lpc/it8720f/voltage/3,/lpc/it8720f/voltage/4,/lpc/it8720f/voltage/8,/lpc/it8720f/temperature/0,/lpc/it8720f/temperature/1,/lpc/it8720f/fan/0,/amdcpu/0/load/1,/amdcpu/0/load/2,/amdcpu/0/load/3,/amdcpu/0/load/4,/amdcpu/0/load/5,/amdcpu/0/load/6,/amdcpu/0/load/7,/amdcpu/0/load/8,/amdcpu/0/load/0,/amdcpu/0/clock/1,/amdcpu/0/clock/2,/amdcpu/0/clock/3,/amdcpu/0/clock/4,/amdcpu/0/clock/5,/amdcpu/0/clock/6,/amdcpu/0/clock/7,/amdcpu/0/clock/8,/amdcpu/0/temperature/0,/amdcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/control/0,/nvidiagpu/0/smalldata/3,/nvidiagpu/0/smalldata/2,/nvidiagpu/0/smalldata/1,/nvidiagpu/0/load/3,/hdd/0/temperature/0,/hdd/0/level/0,/hdd/0/data/0,/hdd/0/data/1,/hdd/0/data/2,/hdd/0/load/0,/hdd/0/factor/1,/hdd/1/temperature/0,/hdd/1/load/0,/hdd/2/temperature/0,/hdd/2/load/0,/hdd/3/temperature/0,/hdd/3/load/0,/hdd/4/temperature/0,/hdd/4/load/0
Time,"PWM 1","PWM 2","PWM 3","CPU VCore","DRAM","+3.3V","+5V","+12V","VBat","System","CPU","CPU Fan","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #5","CPU Core #6","CPU Core #7","CPU Core #8","Core #1 - #8","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Fan","GPU Memory Total","GPU Memory Used","GPU Memory Free","GPU Memory","Temperature","Remaining Life","Controller Writes to NAND","Host Writes to Controller","Host Reads","Used Space","Write Amplification","Temperature","Used Space","Temperature","Used Space","Temperature","Used Space","Temperature","Used Space"
11/18/2018 09:09:06,100,,100,1.40800011,1.488,3.36000013,5.05344,12.04878,3.31200027,23,34,3341.58423,24.6153831,12.3076916,24.6153831,81.53846,13.8461533,16.9230766,7.69230747,15.3846149,24.6153831,3422.85742,3422.85742,3422.85742,3422.85742,3422.85742,3422.85742,3422.85742,3422.85742,29.375,201.344543,12.37986,1.97850418,14.0031319,23,1461,1506.00012,4006.80029,3012.00024,0,1,0,49,3072,205.777344,2866.22266,6.698481,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:07,100,,100,1.3440001,1.50400007,3.344,5.05344,12.04878,3.31200027,23,35,3325.123,28.125,26.5625,25,39.0625,29.6875,19.0476189,32.8125,34.375,29.33408,3422.853,3422.853,3422.853,3422.853,3422.853,3422.853,3422.853,3422.853,29.375,201.3443,12.8964386,2.06106186,13.9205742,24,1455,1506.00012,4006.80029,3012.00024,3,1,0,49,3072,217.902344,2854.09766,7.09317541,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:08,100,,100,1.424,1.50400007,3.344,5.05344,12.04878,3.31200027,23,36,3325.123,31.25,53.125,28.125,35.9375,9.375,52.30769,20.3125,31.25,32.71034,4026.888,3422.85474,3422.85474,3422.85474,3422.85474,3422.85474,3422.85474,3422.85474,31.5,201.3444,13.1668777,2.10428238,13.8773537,24,1453,1506.00012,4006.80029,3012.00024,1,0,0,49,3072,217.777344,2854.22266,7.089106,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:09,100,,100,1.40800011,1.50400007,3.344,5.05344,12.04878,3.31200027,23,35,3325.123,55.384613,27.6923065,30.76923,47.6923065,38.4615364,35.384613,27.6923065,33.8461533,37.1153831,3120.839,3120.839,3422.856,3422.856,3422.856,3422.856,3422.856,3422.856,30.5,201.344467,13.3177338,2.12839127,13.8532448,24,1451,873.000061,4006.80029,1746.00012,3,1,0,49,3072,224.964844,2847.03516,7.32307434,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:10,100,,100,1.3440001,1.50400007,3.344,5.05344,11.9853659,3.31200027,23,36,3325.123,92.06349,82.53968,82.53968,90.47619,87.30159,79.36508,87.30159,87.30159,86.11111,3422.85449,3422.85449,3120.838,3422.85449,3422.85449,3422.85449,3422.85449,3422.85449,32.125,201.344376,15.0975418,2.41283417,13.5688019,24,1451,1506.00012,4006.80029,3012.00024,2,0,0,49,3072,229.640625,2842.35938,7.475281,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:11,100,,100,1.36,1.50400007,3.344,5.05344,11.9853659,3.31200027,23,38,3325.123,79.6875,78.125,78.125,84.375,67.1875,71.875,75,68.75,75.390625,3422.857,3120.84,3422.857,3422.857,3422.857,3422.857,3120.84,3120.84,33.25,201.344513,14.8630219,2.37535477,13.6062813,24,1453,1506.00012,4006.80029,3012.00024,2,1,0,49,3072,214.9961,2857.004,6.998571,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:12,100,,100,1.40800011,1.50400007,3.344,5.02656031,11.9853659,3.31200027,23,39,3341.58423,95.3125,95.3125,96.875,96.875,96.875,93.75,96.875,90.625,95.3125,3120.83936,3422.8562,3422.8562,3120.83936,3422.8562,3120.83936,3422.8562,3120.83936,35,201.344482,15.5187912,2.480156,13.50148,25,1455,1506.00012,4006.80029,3012.00024,5,1,0,49,3072,236.269531,2835.73047,7.69106531,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:13,100,,100,1.3440001,1.50400007,3.344,5.05344,11.9853659,3.31200027,23,40,3325.123,93.75,93.75,92.1875,87.5,81.25,95.3125,87.5,87.5,89.84375,3422.85449,3120.83813,3120.83813,3120.83813,3422.85449,3120.83813,3120.83813,3422.85449,35,201.344391,16.2332153,2.59433365,13.3873024,25,1455,1506.00012,4006.80029,3012.00024,4,1,0,49,3072,264.4297,2807.57031,8.607738,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:14,100,,100,1.39200008,1.50400007,3.344,5.05344,11.9853659,3.31200027,23,40,3325.123,90.625,87.5,92.1875,90.625,81.25,89.0625,92.1875,90.625,89.25781,3120.8374,3422.854,3422.854,3120.8374,3120.8374,3422.854,3422.854,3120.8374,35.25,201.344345,16.3766251,2.61725235,13.3643837,25,1459,1506.00012,4006.80029,3012.00024,4,1,0,49,3072,277.414063,2794.586,9.030406,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:15,100,,100,1.40800011,1.50400007,3.344,5.05344,11.9853659,3.31200027,23,41,3341.58423,81.25,89.0625,85.9375,82.8125,78.125,89.0625,81.25,84.375,83.984375,3422.8562,3120.8396,3422.8562,3422.8562,3422.8562,3422.8562,3422.8562,3120.8396,35.25,201.344482,16.7492447,2.67680359,13.3048325,25,1457,1506.00012,4006.80029,3012.00024,6,1,0,49,3072,321.375,2750.625,10.4614258,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:16,100,,100,1.39200008,1.50400007,3.344,5.05344,11.9853659,3.31200027,23,41,3325.123,79.6875,68.75,79.6875,73.4375,67.1875,70.3125,67.1875,76.5625,72.85156,3422.85474,3422.85474,3422.85474,3422.85474,3120.83813,3120.83813,3422.85474,3422.85474,35.75,201.3444,17.0940628,2.73191071,13.2497253,25,1461,1506.00012,4006.80029,3012.00024,3,1,0,49,3072,326.09375,2745.90625,10.6150312,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:17,100,,100,1.40800011,1.50400007,3.344,5.05344,11.9853659,3.31200027,23,41,3325.123,53.125,73.4375,71.875,67.1875,71.875,68.75,76.5625,70.3125,69.140625,3120.8396,3422.8562,3120.8396,3120.8396,3422.8562,3422.8562,3422.8562,3422.8562,36.125,201.344482,17.36364,2.774994,13.2066422,25,1463,873.000061,4006.80029,1746.00012,4,1,0,49,3072,320.9961,2751.004,10.4490919,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:18,100,,100,1.40800011,1.50400007,3.344,5.05344,11.9853659,3.31200027,23,41,3325.123,71.875,67.1875,71.875,59.375,48.4375,65.625,65.625,71.875,65.234375,3120.838,3120.838,3422.85449,3120.838,3422.85449,3120.838,3120.838,3422.85449,36.5,201.344391,17.6277313,2.81719971,13.1644363,25,1463,873.000061,4006.80029,1746.00012,3,1,0,49,3072,323.0586,2748.94141,10.5162306,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:19,100,,100,1.3440001,1.50400007,3.344,5.05344,11.9853659,3.31200027,23,42,3325.123,75,82.8125,76.5625,81.25,81.25,92.1875,84.375,85.9375,82.421875,3120.83984,3422.85669,3422.85669,3422.85669,3422.85669,3120.83984,3422.85669,3120.83984,38,201.344513,17.3899918,2.77920532,13.2024307,25,1463,873.000061,4006.80029,1746.00012,3,1,0,49,3072,320.5586,2751.44141,10.43485,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
11/18/2018 09:09:20,100,,100,1.3440001,1.50400007,3.344,5.05344,11.9853659,3.31200027,23,42,3325.123,76.5625,75,79.6875,82.8125,81.25,62.5,73.4375,75,75.78125,3422.855,3120.83838,3422.855,3422.855,3422.855,3120.83838,3422.855,3422.855,37.75,201.344421,17.5147781,2.79914856,13.1824875,25,1463,1506.00012,4006.80029,3012.00024,5,2,0,49,3072,355.144531,2716.85547,11.5606947,20,100,8000,7616,18368,97.36433,1.05042017,19,91.46388,21,79.2032,21,91.96342,,15.1588593
